Hour,Minute,Price_now,Percentage,Volume
3,50,7082.75,-0.0242,43637283
3,51,7085.25,-0.0244,44116798
3,52,7085.25,-0.0245,44519353
3,53,7085.25,-0.0247,44619036
3,54,7081.75,-0.0259,45172489
3,55,7082.75,-0.0257,45522628
3,56,7082.75,-0.0258,45592465
3,57,7084.75,-0.0265,45712572
3,58,7085.75,-0.0258,45987212
3,59,7093.75,-0.0249,47252496
4,0,7096.75,-0.0233,48104
4,1,7090.25,-0.0256,853108
4,2,7090.25,-0.0245,1068591
4,3,7090.25,-0.0242,1396284
4,4,7090.25,-0.0221,1520928
4,5,7093.75,-0.0208,2497835
4,6,7093.75,-0.0208,2622311
4,7,7093.75,-0.0196,2667667
4,8,7093.75,-0.0206,2756525
4,9,7093.75,-0.0214,3165359
4,10,7085.75,-0.0228,3911529
4,11,7080.75,-0.022,4795263
4,12,7073.75,-0.0235,5569951
4,13,7073.75,-0.0227,5852919
4,14,7080.25,-0.022,6783927
4,15,7085.25,-0.0214,7036730
4,16,7085.25,-0.0215,7195053
4,17,7084.75,-0.0211,7421566
4,18,7084.25,-0.0212,7626875
4,19,7084.25,-0.021,7992149
4,20,7092.75,-0.0199,8793607
4,21,7088.75,-0.0218,9296493
4,22,7089.75,-0.0214,9429259
4,23,7088.75,-0.0225,9585906
4,24,7088.25,-0.021,9700537
4,25,7088.25,-0.0214,9735050
4,26,7088.25,-0.0229,9802024
4,27,7088.25,-0.0223,9824952
4,28,7087.75,-0.0225,10034377
4,29,7088.25,-0.0223,10345512
4,30,7088.25,-0.022,10421341
4,31,7088.75,-0.0216,10601330
4,32,7092.25,-0.0211,11194424
4,33,7092.25,-0.0205,11296887
4,34,7096.25,-0.0195,11796348
4,35,7104.25,-0.0186,15092793
4,36,7116.25,-0.0164,20301660
4,37,7102.25,-0.0185,27342645
4,39,7095.75,-0.0191,28213162
4,40,7082.75,-0.0173,29843351
4,41,7079.25,-0.0189,31483114
4,42,7070.75,-0.0187,34114663
4,43,7078.25,-0.0165,35553077
4,44,7073.25,-0.0174,38243059
4,45,7070.75,-0.0166,39111480
4,46,7076.25,-0.0178,39907089
4,47,7076.25,-0.0182,40297768
4,48,7076.25,-0.0186,40546983
4,49,7070.75,-0.0187,41403966
4,50,7070.25,-0.0189,41780506
4,51,7071.75,-0.0205,41987700
4,52,7072.25,-0.0202,42163675
4,53,7079.25,-0.0186,42600925
4,54,7077.25,-0.0185,42765631
4,55,7076.75,-0.0189,43274967
4,56,7076.75,-0.0189,43335566
4,57,7076.25,-0.0189,43425448
4,58,7076.25,-0.0187,43492410
4,59,7076.25,-0.0178,43571786
5,0,7076.25,-0.0178,136301
5,1,7079.75,-0.0177,1093453
5,2,7082.25,-0.021,1298552
5,3,7082.25,-0.0209,1310395
5,4,7082.25,-0.0203,1421092
5,5,7082.25,-0.0209,1682557
5,6,7082.25,-0.0203,1760186
5,7,7082.25,-0.0202,1851000
5,8,7084.75,-0.0209,2261600
5,9,7085.25,-0.0208,2894880
5,10,7085.25,-0.0224,3130571
